epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.13965,0.74763,2.37288,1.35347,0.00535,0.7377,0.53349,0.22762,1.07166,2.96904,1.5614,0.000540649,0.000540649,0.000540649
2,15.563,0.72438,1.3095,1.31042,0.23673,0.31271,0.17346,0.04968,2.60979,3.0983,3.42385,0.00108546,0.00108546,0.00108546
3,21.2565,0.71514,1.11362,1.2829,0.16976,0.15574,0.08259,0.02112,2.99961,2.99037,4.07565,0.00161927,0.00161927,0.00161927
4,26.5429,0.66556,0.98806,1.24193,0.61796,0.49058,0.46503,0.24928,1.52573,2.68421,2.53257,0.00161749,0.00161749,0.00161749
5,31.8158,0.67224,0.95557,1.27415,0.58137,0.59193,0.59858,0.39965,1.09159,1.98825,1.88573,0.00160099,0.00160099,0.00160099
6,37.2961,0.70951,0.9231,1.30535,0.48187,0.54124,0.52977,0.28242,1.56165,2.12734,2.15163,0.00158448,0.00158448,0.00158448
7,42.8944,0.6564,0.8466,1.26662,0.40959,0.5,0.42015,0.21666,1.65642,3.0784,2.33605,0.00156798,0.00156798,0.00156798
8,48.0873,0.62677,0.76924,1.22824,0.4457,0.15574,0.15055,0.05904,3.0046,2.71522,3.20999,0.00155148,0.00155148,0.00155148
9,53.4199,0.60565,0.72848,1.23068,0.6967,0.52459,0.59893,0.46825,1.15488,1.28251,1.56108,0.00153497,0.00153497,0.00153497
10,58.6559,0.59948,0.68821,1.21821,0.64163,0.52834,0.59221,0.30741,1.93729,1.82541,2.55268,0.00151847,0.00151847,0.00151847
11,63.8408,0.55721,0.64904,1.1842,0.83494,0.66341,0.84326,0.68622,0.75741,1.04234,1.12322,0.00150197,0.00150197,0.00150197
12,69.016,0.56146,0.63179,1.17161,0.88396,0.6244,0.79566,0.62767,0.91338,0.97997,1.3762,0.00148546,0.00148546,0.00148546
13,74.3531,0.5345,0.6029,1.18092,0.94809,0.72131,0.8669,0.70875,0.77198,0.84749,1.11961,0.00146896,0.00146896,0.00146896
14,79.8357,0.51597,0.57879,1.15059,0.59466,0.86583,0.77994,0.53408,0.92117,1.19183,1.29021,0.00145246,0.00145246,0.00145246
15,85.0629,0.53394,0.57114,1.16793,0.87635,0.75522,0.8646,0.64731,0.89741,0.766,1.23856,0.00143595,0.00143595,0.00143595
16,90.4073,0.54537,0.56019,1.17614,0.68897,0.63551,0.70571,0.30684,1.39611,1.7035,1.68518,0.00141945,0.00141945,0.00141945
17,95.889,0.52398,0.56339,1.14769,0.7743,0.77869,0.85619,0.66146,0.89686,0.8606,1.22701,0.00140295,0.00140295,0.00140295
18,101.367,0.50797,0.54686,1.1382,0.87431,0.78689,0.90498,0.74197,0.7083,0.74005,1.10235,0.00138644,0.00138644,0.00138644
19,106.739,0.51097,0.5239,1.15493,0.97112,0.82787,0.9288,0.74523,0.75209,0.57907,1.12055,0.00136994,0.00136994,0.00136994
20,112.285,0.5191,0.50505,1.15155,0.88227,0.79859,0.90141,0.7271,0.74207,0.66444,1.12334,0.00135344,0.00135344,0.00135344
21,117.753,0.49578,0.47903,1.15398,0.781,0.7541,0.83142,0.59266,1.10918,1.03172,1.45393,0.00133693,0.00133693,0.00133693
22,123.151,0.48251,0.48527,1.1287,0.86045,0.85918,0.91375,0.74836,0.71381,0.68725,1.1094,0.00132043,0.00132043,0.00132043
23,128.524,0.47655,0.50008,1.09921,0.83115,0.80695,0.87738,0.74141,0.68424,0.59174,0.99964,0.00130393,0.00130393,0.00130393
24,133.962,0.49161,0.47934,1.13442,0.90936,0.82234,0.91673,0.7732,0.67275,0.57815,1.01191,0.00128742,0.00128742,0.00128742
25,139.297,0.48367,0.51595,1.11807,0.89824,0.84426,0.91583,0.71688,0.76367,0.68078,1.13279,0.00127092,0.00127092,0.00127092
26,144.601,0.47023,0.46789,1.14769,0.90422,0.85118,0.93243,0.69826,0.86183,0.69991,1.29171,0.00125442,0.00125442,0.00125442
27,150.191,0.46578,0.43881,1.10754,0.85303,0.83607,0.90168,0.7438,0.65003,0.60616,1.02727,0.00123791,0.00123791,0.00123791
28,155.705,0.44513,0.44652,1.11597,0.83496,0.84426,0.88549,0.71055,0.74628,0.65663,1.10427,0.00122141,0.00122141,0.00122141
29,160.98,0.4716,0.46635,1.12357,0.76175,0.7377,0.79418,0.61225,0.95943,0.87327,1.30055,0.00120491,0.00120491,0.00120491
30,166.361,0.48165,0.46849,1.12278,0.89094,0.86066,0.92447,0.76773,0.74395,0.5572,1.1382,0.0011884,0.0011884,0.0011884
31,171.72,0.46667,0.41587,1.14498,0.94302,0.81396,0.92978,0.78942,0.65472,0.52198,1.04962,0.0011719,0.0011719,0.0011719
32,177.065,0.45686,0.41516,1.12074,0.88598,0.83607,0.91725,0.77086,0.66954,0.5842,1.00609,0.0011554,0.0011554,0.0011554
33,182.734,0.46625,0.43379,1.11287,0.92788,0.8436,0.93266,0.75265,0.73688,0.57915,1.06617,0.00113889,0.00113889,0.00113889
